stop_id,stop_name,stop_lat,stop_lon
638179,LÁEV (kisvasút),48.100110,20.704797
638181,Diósgyőri Gimnázium,48.100132,20.708846
638182,Diósgyőri Gimnázium,48.100191,20.708458
638177,Nyárfa utca,48.081361,20.723168
638180,Vasgyár,48.095330,20.730342
638183,Vasgyár,48.094545,20.728844
638185,Vasgyár,48.094453,20.728738
638186,Vasgyár,48.095134,20.728014
638190,Fonoda utca,48.106964,20.817554
638191,Fonoda utca,48.106913,20.819026
