0, 4616
10, 4616
20, 4594
30, 4562
40, 4544
50, 4521
60, 4507
70, 4481
80, 4464
90, 4439
100, 4410
110, 4379
120, 4338
130, 4290
140, 4234
150, 4168
160, 4107
170, 4009
180, 3924
190, 3822
200, 3703
210, 3529
220, 3362
230, 3208
240, 3056
250, 2941
260, 2837
270, 2739
280, 2623
290, 2513
300, 2389
310, 2234
320, 2138
330, 1983
340, 1842
350, 1716
360, 1620
370, 1509
380, 1392
390, 1294
400, 1229
410, 1168
420, 1081
430, 1043
440, 986
450, 942
460, 887
470, 841
480, 777
490, 743
500, 719
510, 678
520, 649
530, 622
540, 594
550, 581
560, 552
570, 521
580, 503
590, 499
600, 486
610, 463
620, 435
630, 423
640, 405
650, 393
660, 388
670, 374
680, 374
690, 361
700, 355
710, 338
720, 335
730, 330
740, 327
750, 319
760, 315
770, 307
780, 302
790, 300
800, 297
810, 296
820, 293
830, 284
840, 284
850, 269
860, 255
870, 242
880, 231
890, 231
900, 231
910, 231
920, 229
930, 225
940, 220
950, 220
960, 220
970, 217
980, 214
990, 214
1000, 214
1010, 214
1020, 209
1030, 206
1040, 201
1050, 201
1060, 198
1070, 198
1080, 195
1090, 195
1100, 192
1110, 189
1120, 187
1130, 187
1140, 187
1150, 186
1160, 184
1170, 184
1180, 182
1190, 181
1200, 181
1210, 178
1220, 178
1230, 171
1240, 171
1250, 169
1260, 166
1270, 166
1280, 161
1290, 161
1300, 161
1310, 154
1320, 153
1330, 153
1340, 153
1350, 153
1360, 153
1370, 150
1380, 148
1390, 148
1400, 146
1410, 146
1420, 146
1430, 143
1440, 143
1450, 143
1460, 143
1470, 142
1480, 142
1490, 142
1500, 142
1510, 142
1520, 141
1530, 141
1540, 141
1550, 141
1560, 139
1570, 139
1580, 139
1590, 139
1600, 138
1610, 136
1620, 131
1630, 131
1640, 131
1650, 131
1660, 131
1670, 131
1680, 131
1690, 131
1700, 131
1710, 130
1720, 130
1730, 130
1740, 130
1750, 130
1760, 127
1770, 127
1780, 127
1790, 124
1800, 124
1810, 124
1820, 124
1830, 124
1840, 124
1850, 121
1860, 121
1870, 121
1880, 121
1890, 121
1900, 121
1910, 121
1920, 121
1930, 121
1940, 121
1950, 121
1960, 121
1970, 121
1980, 121
1990, 121
